Line,abs_src_MaxDepDepth,abs_src_MaxDepLength,abs_src_DiffWords,abs_src_WordCount,abs_tgt_MaxDepDepth,abs_tgt_MaxDepLength,abs_tgt_DiffWords,abs_tgt_WordCount,MaxDepDepth_ratio,MaxDepLength_ratio,DiffWords_ratio,WordCount_ratio
85,6.0,9.0,4.0,21.0,5.0,8.0,3.0,10.0,0.83,0.89,0.75,0.48
86,5.0,15.0,5.0,28.0,6.0,3.0,2.0,12.0,1.2,0.2,0.4,0.43
87,3.0,10.0,3.0,16.0,3.0,10.0,2.0,16.0,1.0,1.0,0.67,1.0
88,6.0,3.0,1.0,11.0,4.0,3.0,1.0,9.5,0.67,1.0,1.0,0.86
89,4.0,9.0,4.0,17.0,4.0,8.0,3.0,12.0,1.0,0.89,0.75,0.71
90,4.0,6.0,5.0,13.0,4.0,6.0,5.0,13.0,1.0,1.0,1.0,1.0
91,6.0,17.0,4.0,18.0,2.0,3.0,2.0,9.0,0.33,0.18,0.5,0.5
92,5.0,18.0,9.0,24.0,6.0,7.0,7.0,20.0,1.2,0.39,0.78,0.83
93,4.0,3.0,2.0,11.0,4.0,3.0,1.0,10.0,1.0,1.0,0.5,0.91
94,3.0,6.0,3.0,9.0,3.0,6.0,2.0,8.0,1.0,1.0,0.67,0.89
95,9.0,6.0,7.0,20.0,7.0,6.0,6.0,19.0,0.78,1.0,0.86,0.95
96,8.0,19.0,5.0,39.0,4.0,5.0,3.0,13.0,0.5,0.26,0.6,0.33
97,4.0,10.0,6.0,18.0,4.0,8.0,4.0,12.0,1.0,0.8,0.67,0.67
98,5.0,10.0,7.0,29.0,1.0,1.0,2.0,2.0,0.2,0.1,0.29,0.07
99,6.0,18.0,8.0,33.0,5.0,5.0,2.0,17.0,0.83,0.28,0.25,0.52
100,7.0,6.0,10.0,26.0,3.0,5.0,5.0,14.0,0.43,0.83,0.5,0.54
