MaxDepDepth, 3, MaxDepLength, 2, DiffWords, 1, WordCount, 9.0, FreqRank, 8.77, 
MaxDepDepth, 11, MaxDepLength, 9, DiffWords, 7, WordCount, 24.0, FreqRank, 9.31, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 0, WordCount, 1.0, FreqRank, 7.66, 
MaxDepDepth, 5, MaxDepLength, 8, DiffWords, 8, WordCount, 15.0, FreqRank, 9.31, 
MaxDepDepth, 7, MaxDepLength, 10, DiffWords, 8, WordCount, 23.0, FreqRank, 8.77, 
MaxDepDepth, 3, MaxDepLength, 6, DiffWords, 5, WordCount, 10.0, FreqRank, 8.51, 
MaxDepDepth, 2, MaxDepLength, 5, DiffWords, 1, WordCount, 7.0, FreqRank, 8.43, 
MaxDepDepth, 5, MaxDepLength, 2, DiffWords, 6, WordCount, 9.0, FreqRank, 10.41, 
MaxDepDepth, 4, MaxDepLength, 7, DiffWords, 3, WordCount, 14.0, FreqRank, 8.02, 
MaxDepDepth, 9, MaxDepLength, 3, DiffWords, 5, WordCount, 16.0, FreqRank, 8.77, 
MaxDepDepth, 4, MaxDepLength, 10, DiffWords, 6, WordCount, 17.0, FreqRank, 10.1, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 6, WordCount, 15.0, FreqRank, 8.14, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 3, WordCount, 10.0, FreqRank, 9.59, 
MaxDepDepth, 4, MaxDepLength, 12, DiffWords, 4, WordCount, 13.0, FreqRank, 8.85, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 0, WordCount, 1.0, FreqRank, 8.31, 
MaxDepDepth, 7, MaxDepLength, 8, DiffWords, 3, WordCount, 17.0, FreqRank, 8.91, 
MaxDepDepth, 5, MaxDepLength, 12, DiffWords, 2, WordCount, 19.0, FreqRank, 8.22, 
MaxDepDepth, 5, MaxDepLength, 3, DiffWords, 5, WordCount, 8.5, FreqRank, 10.58, 
MaxDepDepth, 6, MaxDepLength, 5, DiffWords, 8, WordCount, 24.0, FreqRank, 9.27, 
MaxDepDepth, 5, MaxDepLength, 10, DiffWords, 5, WordCount, 24.0, FreqRank, 8.95, 
MaxDepDepth, 6, MaxDepLength, 8, DiffWords, 5, WordCount, 19.0, FreqRank, 8.59, 
MaxDepDepth, 3, MaxDepLength, 12, DiffWords, 2, WordCount, 13.0, FreqRank, 7.79, 
MaxDepDepth, 9, MaxDepLength, 7, DiffWords, 4, WordCount, 18.0, FreqRank, 11.54, 
MaxDepDepth, 4, MaxDepLength, 5, DiffWords, 3, WordCount, 10.0, FreqRank, 10.64, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 1, WordCount, 12.0, FreqRank, 8.46, 
MaxDepDepth, 6, MaxDepLength, 9, DiffWords, 3, WordCount, 21.0, FreqRank, 8.58, 
MaxDepDepth, 7, MaxDepLength, 3, DiffWords, 3, WordCount, 13.0, FreqRank, 8.1, 
MaxDepDepth, 3, MaxDepLength, 10, DiffWords, 3, WordCount, 16.0, FreqRank, 8.5, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 1, WordCount, 11.0, FreqRank, 7.88, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 3, WordCount, 12.0, FreqRank, 8.27, 
MaxDepDepth, 4, MaxDepLength, 4, DiffWords, 4, WordCount, 9.0, FreqRank, 9.08, 
MaxDepDepth, 2, MaxDepLength, 3, DiffWords, 2, WordCount, 9.0, FreqRank, 9.49, 
MaxDepDepth, 5, MaxDepLength, 18, DiffWords, 9, WordCount, 24.0, FreqRank, 8.49, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 1, WordCount, 10.0, FreqRank, 11.15, 
MaxDepDepth, 2, MaxDepLength, 4, DiffWords, 2, WordCount, 4.0, FreqRank, 12.4, 
MaxDepDepth, 7, MaxDepLength, 6, DiffWords, 6, WordCount, 19.0, FreqRank, 10.78, 
MaxDepDepth, 4, MaxDepLength, 13, DiffWords, 3, WordCount, 21.0, FreqRank, 10.84, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 4, WordCount, 12.0, FreqRank, 8.27, 
MaxDepDepth, 1, MaxDepLength, 2, DiffWords, 1, WordCount, 3.0, FreqRank, 10.07, 
MaxDepDepth, 4, MaxDepLength, 5, DiffWords, 1, WordCount, 13.0, FreqRank, 9.13, 
MaxDepDepth, 2, MaxDepLength, 5, DiffWords, 5, WordCount, 9.0, FreqRank, 10.17, 
